label,text,target,pred,tensor
Political,এই ইসির অধীনে কীভাবে একটি সুষ্ঠু নির্বাচন হবে? ,1,3,"tensor([0.0018, 0.2897, 0.0018, 0.7029, 0.0037], device='cuda:0')"
Religious,এই কুকুর ভালো হয়ে যা।নইলে আল্লাহর বিচার শুরু হলে রক্ষা পাবিনা,2,0,"tensor([0.9881, 0.0014, 0.0073, 0.0011, 0.0021], device='cuda:0')"
Personal,মানুষের ঠিক ভুল বিচার করার তুই কে রে হারামজাদা ,0,0,"tensor([9.9788e-01, 1.1998e-03, 3.2049e-04, 2.8982e-04, 3.1076e-04],
       device='cuda:0')"
Political,দালাল মিডিয়া কুত্তালীগ এর নাম নিতে কি চুলকাই,1,1,"tensor([5.7474e-04, 9.9630e-01, 2.7577e-04, 1.2911e-03, 1.5575e-03],
       device='cuda:0')"
Personal,"হেডাম থাকলে, ছুটির পর দাড়াইছ",0,0,"tensor([9.9665e-01, 6.5000e-04, 2.1292e-04, 1.7370e-03, 7.5342e-04],
       device='cuda:0')"
Geopolitical,ভারতীয়রা পাকিস্তান সেনাদের বুঝি আদর করে হত্যা করে।,3,3,"tensor([1.5051e-04, 3.0730e-04, 8.7108e-04, 9.9855e-01, 1.2076e-04],
       device='cuda:0')"
Political,"আওয়ামী লীগ শুধু অতীত নিয়ে আলোচনা করে, বর্তমান নিয়ে নয়। ",1,1,"tensor([2.2188e-04, 9.9780e-01, 2.8044e-04, 1.0985e-03, 5.9743e-04],
       device='cuda:0')"
Geopolitical,তখন বাংগালী বীর সেনারা বুকে মাইন বেঁধে রাস্তায় শুয়ে ভারতের অনেক ট্যাংক ধ্বংস করে যুদ্ধ জয় সহজ করেছিলেন।,3,3,"tensor([2.9077e-04, 1.6980e-03, 9.3451e-04, 9.9691e-01, 1.6320e-04],
       device='cuda:0')"
Personal,রানুর মুখে ঢুকিয়ে দাও মানে মানে খাবার খাবার ও খেতে পায় না তো ,0,0,"tensor([9.7150e-01, 9.0065e-04, 7.5052e-04, 1.3642e-03, 2.5489e-02],
       device='cuda:0')"
Geopolitical, ভারত কুন দিনই বাংলা দেশের বন্দু চিলনা ।আর কুন দিনও বন্দু হতে পারে না ।কিছু দালাল আছে যারা জুর করে বন্দু মানাতে চায় ।আসলে দুনিয়া যত গুলু রাষ্ট আচে তার মধ্যে রেন্ডিয়া হল নম্বার ফালতু রাষ্ট । ,3,3,"tensor([1.6953e-04, 7.3161e-04, 1.2605e-04, 9.9871e-01, 2.6617e-04],
       device='cuda:0')"
Geopolitical,আপনি যদি বাংলাদেশের মানুষের ভোটের মাধ্যমে নির্বাচিত হতেন তাহলে সুন্দরবনকে ক্ষতিগ্রস্ত করে শুধু ভারতের ও আপনাদের লুটপাট এর জন্য এই বিদ্যুত্ কেনদ্র তৈরি করা হত না।,3,3,"tensor([2.8814e-04, 2.0690e-04, 4.0916e-04, 9.9894e-01, 1.5479e-04],
       device='cuda:0')"
Geopolitical,"একদম লেভের প্লেয়িং ফিল্ড, আমাদেরটাতে এত কাটা কেন একটু ঠিক করে দিন ",3,0,"tensor([9.9796e-01, 3.4471e-04, 1.5115e-04, 6.1449e-04, 9.3290e-04],
       device='cuda:0')"
Personal,আমার মতে মিথিলার জন্য এমন হাজবেন্ড ই দরকার ,0,4,"tensor([8.0768e-04, 1.3802e-03, 2.6503e-04, 1.0477e-03, 9.9650e-01],
       device='cuda:0')"
Geopolitical,আসলো এ কি কলিকাল? দেশের প্রধানমন্ত্রীর মূখে পতিতার গাল ,3,3,"tensor([4.9066e-02, 1.0716e-02, 8.5063e-04, 9.3654e-01, 2.8244e-03],
       device='cuda:0')"
Geopolitical,পৃথিবীর মানচিত্র থেকে গোমুত্রের দেশ ভারতের নাম নিশানা মুছে দেওয়া উচিত।,3,3,"tensor([1.5684e-04, 1.3432e-04, 3.1137e-04, 9.9928e-01, 1.1859e-04],
       device='cuda:0')"
Religious, মালাউনদের কেন পিটাই বুজসতো আরো পিটামু ,2,2,"tensor([5.9769e-04, 2.6986e-04, 9.9858e-01, 4.1728e-04, 1.3246e-04],
       device='cuda:0')"
Personal,তুই ২০ টাকার খানকির চেয়েও নষ্ট মাগি। ,0,4,"tensor([3.1455e-03, 1.1267e-03, 1.5905e-04, 4.6805e-04, 9.9510e-01],
       device='cuda:0')"
Geopolitical,আমি চাই এ যুদদে ভারত জয়ী হউক,3,3,"tensor([8.2145e-04, 2.2535e-04, 2.7535e-04, 9.9778e-01, 8.9799e-04],
       device='cuda:0')"
Geopolitical,"আমি স্বাধীনতাটাকে খুঁজছি সে সময়ের পূর্ব পাকিস্তান, আজকের বাংলাদেশ",3,3,"tensor([5.6430e-04, 1.3552e-03, 3.6424e-04, 9.9739e-01, 3.2240e-04],
       device='cuda:0')"
Personal,এই মাদারচোদ ভালো কোরে দেক শুয়োর ?,0,0,"tensor([9.9670e-01, 1.4339e-03, 3.2998e-04, 3.6241e-04, 1.1718e-03],
       device='cuda:0')"
Geopolitical,আমরা কাংলাদেশি মাগী চুদতে ভালোবাসি । ,3,4,"tensor([3.5459e-03, 7.9009e-04, 6.2230e-04, 2.7397e-03, 9.9230e-01],
       device='cuda:0')"
Personal,গরমে ছেলেরা হাওয়া খায় পেন্ট পরে আর মেয়েরা হাওয়া খায় পেন্টি জাগিয়ে ,0,0,"tensor([9.9590e-01, 1.7182e-03, 4.3928e-04, 1.2518e-03, 6.9295e-04],
       device='cuda:0')"
Religious,ওয়াজ মাহফিল বন্ধ করা উচিৎ মসজিদ থেকে আজান দিয়ে শব্দ দূষণ করা হচ্ছে ,2,2,"tensor([5.4181e-02, 4.5148e-03, 9.3944e-01, 6.1339e-04, 1.2467e-03],
       device='cuda:0')"
Gender abusive,ঐ শুয়োরের মুখে কোষে দুটা জুতার বারি মার ঐ খানকি মাগির এত সাহস পাইলো কথা থেকে ট্রাম জিতার পর থেকে এই মাগির এত স্পর্ধা বেড়েছে,4,4,"tensor([6.5873e-03, 1.1585e-03, 2.2157e-04, 7.4628e-04, 9.9129e-01],
       device='cuda:0')"
Political,ভোট ছাড়া সংসদে বসে আছে এখন আওয়ামী লীগের নির্লজ্জ এমপিরা তাদের চে ভালো আছে হিরো আলম ,1,1,"tensor([4.2921e-04, 9.8964e-01, 5.3972e-04, 7.9006e-03, 1.4878e-03],
       device='cuda:0')"
Political,যুদ্ধাপরাধিদের বিচার বাধা বন্ধ করা ও রাজাকারদের বাঁচাতে বিএনপি জামাতিরা তৈরী করেছে হেফাজতিদের। ,1,1,"tensor([2.5216e-04, 9.9684e-01, 3.9786e-04, 2.2527e-03, 2.5996e-04],
       device='cuda:0')"
Geopolitical,"আমি চাইনা ছাড়তে ক্ষমতা, যতই লাশ হোক জনতা ",3,3,"tensor([1.1864e-01, 2.4416e-03, 5.7402e-04, 8.7437e-01, 3.9778e-03],
       device='cuda:0')"
Political,"তোমরা কোন দেশে থাকো,কথা কথা ষড়যন্ত্র খুজো,কি বাল আছে তোমার দেশে ",1,1,"tensor([0.0026, 0.6443, 0.0018, 0.3498, 0.0014], device='cuda:0')"
Religious, বাংলাদেশের হিন্দু বৌদ্ধ খ্রিষ্টান এরা হল দুরের মানুষ। এদের বলা হয় মালাউন। এদের নাকি লাথ মাইর ্যা দ্যাশ থেকে বাইর কইরা দিতে হবে। কিন্ত মায়াম্মার হলে নিজেদের দেশ। ,2,2,"tensor([1.8605e-04, 1.9722e-04, 9.9904e-01, 4.7219e-04, 1.0147e-04],
       device='cuda:0')"
Political,ছাত্র লীগ মানি কুত্তা লীগ হাতুরি লিগ হেলমেট লিগ ,1,1,"tensor([4.3062e-04, 9.9711e-01, 3.1337e-04, 1.2294e-03, 9.1445e-04],
       device='cuda:0')"
Religious, ভারত যখন বাংলাদেশের কাছে খেলায় পরাজিত হয় বাংলাদেশের কোটি মানুষের মুখে হাঁসি ফুটে আনোন্দ পায় খুশি হয়।আর পাকিস্তান যদি ভারতকে ধ্বংস করে দেয় ঠিক তেমন খুশি হবে পুরা বাংলাদেশের জনগন পাকিস্তান এগিয় যাও ভরত মালাউনদের ধ্বংস করে দাও । ,2,2,"tensor([3.0642e-04, 3.0717e-04, 9.9394e-01, 5.2282e-03, 2.1436e-04],
       device='cuda:0')"
Political,আওয়ামী লীগ ছাত্র লীগ সব এক ধরা খাইলে বলে ওরা আমাদের কেউনা আমরা ওদের চিনিনা বাটপার,1,1,"tensor([2.4048e-04, 9.9827e-01, 1.4702e-04, 8.7584e-04, 4.6294e-04],
       device='cuda:0')"
Personal,রানু মন্ডল একটা অকৃতজ্ঞ বেইমান ছি ছি এত বাজে বাজে কথা বলো কি ভাবে দাদা আপনি একদম ঠিক কথা বলেছেন রানু মন্ডল এখন খুব উপরে উঠেছে বলে ওর বুদ্ধি লোপ পেয়েছে ও যেখানে ছিল সেখানে নামিয়ে দেওয়ায় ভালো ,0,0,"tensor([9.9211e-01, 5.5414e-04, 8.8402e-05, 3.8260e-04, 6.8647e-03],
       device='cuda:0')"
Personal,"টয়া একটা পতিতা,কনডম কন্যা ",0,4,"tensor([3.5438e-02, 1.1734e-03, 4.4835e-04, 5.2567e-03, 9.5768e-01],
       device='cuda:0')"
Geopolitical,কুত্তার বাচ্চা মায়ানমারে নিরহ মুসলমান কে কতো কষ্ট দিয়ে হত্যা করতেছে তার জন্য তোমার কোন শোক প্রকাশ নাই কোন মাথা ব্যাথা নাই ভারতে ট্রেন দূর্ঘটনায় তোমার শোক প্রকাশ করতে হয় ওওও ভারত তো তোর জাত হিন্দুর জাত,3,3,"tensor([3.8408e-03, 2.0170e-04, 6.8924e-04, 9.9476e-01, 5.0629e-04],
       device='cuda:0')"
Personal,রানু মন্ডলের এইসব আচরণ থেকে আমাদের অনেক কিছু শেখার আছে ,0,0,"tensor([9.9582e-01, 7.5973e-04, 4.2022e-04, 7.8046e-04, 2.2198e-03],
       device='cuda:0')"
Geopolitical,"আগ্রাসী ভারত চায় চুক্তি, বাংলাদেশের মানুষ চায় মুক্তি ",3,3,"tensor([7.0743e-04, 3.1416e-04, 1.4494e-03, 9.9731e-01, 2.1747e-04],
       device='cuda:0')"
Personal,যেীন জাগরনের এইডস সরকারের অবস্থা দেখুন রাস্তার মধ্যে তেতুল লীলায় মেতে উঠেছে ,0,3,"tensor([0.3657, 0.0289, 0.0031, 0.5995, 0.0028], device='cuda:0')"
Gender abusive,আমাদের বাংলা সানি লিওন ওকে দিয়ে পর্ন ভিডিও বানানো হোক ,4,4,"tensor([1.4752e-02, 3.3556e-04, 1.9353e-03, 1.0991e-03, 9.8188e-01],
       device='cuda:0')"
Religious,ধর্ম অবমাননার বিষয়ে বিবিসি লুকোচুরি করেছে।,2,2,"tensor([0.1781, 0.0437, 0.7546, 0.0219, 0.0017], device='cuda:0')"
Personal,"রানু মন্ডল জানে না উপরের দিকে উঠতে গেলে একটা মই বা সিড়ির দরকার সেইটা ছিলেন অতিন্দ্র দা, এত বড় বেইমান ওর গান শোনা তো দূরের কথা মুখ দেখাও পাপ ",0,0,"tensor([9.1760e-01, 1.1242e-03, 5.6370e-04, 9.0796e-04, 7.9802e-02],
       device='cuda:0')"
Geopolitical,"ঐতিহাসিক পলাশী দিবসে নব্য ঘসেটি বেগম, মীর জাফর ও রায় দুর্লভদের  মনে পরে ",3,0,"tensor([0.4324, 0.0248, 0.3234, 0.2167, 0.0027], device='cuda:0')"
Political,ওটা নাকি দেশ নায়ক লন্ডনে বসে সালা চুর ,1,3,"tensor([4.2614e-02, 1.4020e-02, 2.0741e-04, 9.4140e-01, 1.7604e-03],
       device='cuda:0')"
Geopolitical,"মৃতপ্রায় খাদিজার সাথে নির্লজ্জ সেলফি, মানবতার সাথে আর কত উপহাস করবে এই বেহায়ালীগ নেত্রীরা ",3,2,"tensor([5.1530e-02, 7.7128e-03, 9.3541e-01, 6.6048e-04, 4.6853e-03],
       device='cuda:0')"
Personal,মুসলিম দের মধ্যে এরকম ভাই বোন দের বিয়ে হয় ,0,2,"tensor([0.4547, 0.0019, 0.5342, 0.0006, 0.0086], device='cuda:0')"
Political,নুরু ভাই জিন্দাবাদ. এগিয়ে যান আগামী বাংলার প্রধানমন্ত্রি হিসেবে দেখতে চাই. কুত্তালীগের হাত থেকে দেশের মানুষ কে বাচান,1,1,"tensor([7.0581e-04, 9.7508e-01, 1.1218e-03, 2.1981e-02, 1.1071e-03],
       device='cuda:0')"
Religious,শালা নাম্তিকদের হত্যা করা আমাদের দায়িত্ব ও কর্তব্য.,2,2,"tensor([2.3618e-03, 6.5329e-04, 9.9484e-01, 1.9760e-03, 1.7304e-04],
       device='cuda:0')"
Personal,যাদের রুচি হলো বোনের দুধ পাছা রাস্তার মানুষ কে দেখাবে তারা বোনদের সাথে অবৈধ কাম করে না তার গ্যারান্টি কে দিবে? ইসলাম ১৪ জন ব্যাতিত সবাইকে বিয়ে করা যাবে কিন্তু তোদের মত আকাম করা যাবে না ,0,2,"tensor([6.1510e-02, 1.2109e-03, 9.3536e-01, 4.5321e-04, 1.4658e-03],
       device='cuda:0')"
Geopolitical,এই মূহুর্তে ভারত পাকিস্তান নিয়ে কোন কথা শুনতে চাইনা যদি পারেন মায়ানমারের দুখি মানুষ গুলাকে নিয়ে বেশী বেশী লিখেন,3,3,"tensor([5.0396e-04, 1.2016e-04, 2.4056e-04, 9.9890e-01, 2.3250e-04],
       device='cuda:0')"
Religious,ভারতে মুসলিম আরো বেশি হবে কারণ বড় বড় চোর গুন্ডা নেতা সবাই হিন্দু,2,3,"tensor([9.2353e-04, 1.9852e-04, 7.5440e-04, 9.9756e-01, 5.6116e-04],
       device='cuda:0')"
Geopolitical,রুস ভারতের দালাল হাসিনার অবৈধ সরকার,3,3,"tensor([2.7205e-04, 5.9467e-04, 5.0482e-03, 9.9390e-01, 1.8491e-04],
       device='cuda:0')"
Gender abusive,সুজিতের যে ধন এটা তো আমি ৭ বছর বয়সে অতো টুকু কেটে ফেলেছি ,4,0,"tensor([9.6177e-01, 4.7510e-04, 2.1819e-04, 7.5021e-04, 3.6782e-02],
       device='cuda:0')"
Gender abusive,রানু একটা খানকি ওকে কুকুরে লাগাতো ,4,4,"tensor([2.3481e-03, 8.8278e-04, 2.1097e-04, 6.0344e-04, 9.9595e-01],
       device='cuda:0')"
Political,মাহি তুই খানকির পোলা তোর বাপ মাগির পোলা শালা দালাল ,1,1,"tensor([1.3366e-03, 9.9553e-01, 2.2178e-04, 6.2535e-04, 2.2840e-03],
       device='cuda:0')"
Political,"অবৈধ সরকারকে আর দেশের জনগন দেখতে চায় না,সবাই অতিষ্ট!",1,3,"tensor([0.0103, 0.3483, 0.0021, 0.6377, 0.0017], device='cuda:0')"
Gender abusive,তর ভোদার ভিতরে ভালো ভাবে বরে দিমু,4,4,"tensor([1.6778e-02, 1.0760e-03, 5.4042e-03, 2.3969e-04, 9.7650e-01],
       device='cuda:0')"
Geopolitical,কথাগুলো একেবারে সত্য। অস্ট্রেলিয়ার হারার কােন তো এটাই যে তাদের এখন গিলক্রিষ্ট নাই। ধোনি অবসর নিলে ভারতের ঠিক এই অবস্থা হবে।,3,3,"tensor([5.2223e-04, 6.8425e-04, 4.7236e-04, 9.9798e-01, 3.3891e-04],
       device='cuda:0')"
Gender abusive,আচ্ছা আমি মানলাম নাসির ভায়ের দোষ আছে কিন্তু আপনি আপু কেমন মেয়ে যে প্রেমের ১৪ দিনের মাথায় চুদতে দেন ,4,4,"tensor([2.4873e-02, 8.6585e-04, 3.3757e-04, 6.6449e-04, 9.7326e-01],
       device='cuda:0')"
Political,"আমার এলাকায় ২ টা রাস্তা খায়ে ফেলেছে আওয়ামী লীগ নেতা,, ১ টা রাস্তা ইটের খোয়া পরযন্ত আর একটা রাস্তা মাটি খুরেই শেষ।।৩ বছর হইল ",1,1,"tensor([1.0333e-03, 9.9465e-01, 1.9779e-04, 3.0625e-03, 1.0528e-03],
       device='cuda:0')"
Religious,দুদিন আগে অন্য ধর্ম থেকে চুরি করা জিনিস নিয়ে যাদের জন্ম তারা নাকি আমাদের ধর্ম সম্পর্কে জ্ঞান দেয়!!!,2,2,"tensor([2.3854e-03, 5.7732e-04, 9.9647e-01, 4.3066e-04, 1.3173e-04],
       device='cuda:0')"
Religious, জনের পরিবর্তে জন ভারতিও মালাউনকে ঘন্টার ভিতর হত্যা করা হোউক। আর আমি জানি পাকিস্তান তোমরা সেটা পারবে এবং করবে ,2,3,"tensor([1.3575e-04, 5.0671e-04, 1.2892e-03, 9.9773e-01, 3.4022e-04],
       device='cuda:0')"
Religious,নাদানের বলা হয় এক কথা আর বলে আরএক কথা ।নিজের ধমগ্রন্থের জ্ঞান আমার কথা বলতে এসেছে ।,2,2,"tensor([7.2010e-03, 1.2350e-02, 9.7623e-01, 3.3614e-03, 8.5768e-04],
       device='cuda:0')"
Personal,"ঝসড়ার সময় বাঙালির বিখ্যাত ডায়লগ, তুই আমারে চিনস/তুই জানস আমি কে?",0,3,"tensor([1.2753e-02, 1.9768e-03, 3.2664e-02, 9.5232e-01, 2.8073e-04],
       device='cuda:0')"
Religious,আল্লাহ তুমি তাদের বিচার এই পৃথিবীতে করে দেখান,2,2,"tensor([2.3937e-02, 1.0294e-03, 9.7258e-01, 5.9367e-04, 1.8572e-03],
       device='cuda:0')"
Personal,পেটের জন্য এই নোংরা কাজ টা না করেও অনেক পথ আছে টাকা ইনকাম করার ,0,0,"tensor([8.7516e-01, 2.5560e-03, 7.0403e-04, 1.4591e-03, 1.2012e-01],
       device='cuda:0')"
Political,"আওয়ামীলীগ এখন পচে গিয়ে দুর্গন্ধ ছড়াচ্ছে। হায়রে, এই আওয়ামীলীগ কি বঙ্গবন্ধু রেখে গিয়েছিল? ",1,1,"tensor([8.1280e-04, 9.8451e-01, 2.1166e-04, 1.3784e-02, 6.8162e-04],
       device='cuda:0')"
Gender abusive,এই ডানডি খানকি মাগিরে ওলংগো করে পিটানের দরকার,4,4,"tensor([2.2827e-03, 9.9047e-04, 1.2320e-04, 4.6998e-04, 9.9613e-01],
       device='cuda:0')"
Geopolitical,"বিড়িখোর মহসিন আলীর ঔদ্ধত্য, বোরখা পরে কলেজের ছাত্রী হতে পারবে না",3,0,"tensor([0.7650, 0.0115, 0.2096, 0.0122, 0.0017], device='cuda:0')"
Personal,ওর মত জানোয়ারের বেচে থাকার কোনো অধিকারই নাই।ওকে ফাসির দড়িতে ঘনটা ঝুলিয়ে রাখলে আমাদের শানতি হবে।,0,0,"tensor([9.9827e-01, 7.0087e-04, 3.2016e-04, 1.9064e-04, 5.2268e-04],
       device='cuda:0')"
Political,"কয়দিন পর শুনবো,অমুক নেতার খাটের নিচে অত বস্তা ধানের বীজ পাওয়া গেছে।।",1,1,"tensor([3.7583e-02, 9.5372e-01, 5.5091e-04, 4.9504e-03, 3.1999e-03],
       device='cuda:0')"
Gender abusive,নডির ভিডিও আমরা দেখতে চায় না ,4,0,"tensor([9.9811e-01, 6.0676e-04, 2.3031e-04, 6.7475e-04, 3.7980e-04],
       device='cuda:0')"
Geopolitical,জনতার প্রতিরোধ আন্দোলনে বাকশালীরা পালানোর পথ খুঁজছে ,3,3,"tensor([0.0055, 0.0999, 0.0015, 0.8919, 0.0013], device='cuda:0')"
Geopolitical,আওয়ামীলীগের পতন হলে মানুষ তাকে কোন জুতা দিয়ে পেটাবে সেটা ভাবতে থাকা এটিএম শামসুজ্জামান,3,1,"tensor([0.0910, 0.4534, 0.0024, 0.4475, 0.0057], device='cuda:0')"
Geopolitical,ভারতীয় সৈনিকের মৃত্যু মানে বাংলাদেশের শহীদদের আত্বার শান্তী যারা ভারতীয় বিএসএফ এর গুলিতে বিনা দুষে মৃত্যু বরন করেছেন।,3,3,"tensor([1.5870e-04, 1.8223e-03, 2.5417e-04, 9.9765e-01, 1.1794e-04],
       device='cuda:0')"
Geopolitical,ইস কতোজনের যে জ্বলছে । ভারত নামটা শুনলেই যে ভুত দেখার মতো । তাও একজন না দুইজন । ভালোকিছু খবর ভারতের হলে হিংসায় তো জলবেই এদিকে এত প্রিয় মনিব পাকিস্তান নেই ।,3,3,"tensor([2.2119e-04, 3.4818e-03, 1.9496e-04, 9.9588e-01, 2.2381e-04],
       device='cuda:0')"
Gender abusive,"মাইয়ারে পাইলে দুধ এর উপর ঘুম যাইতাম, আহা সেই মাল,",4,4,"tensor([1.1221e-01, 1.1079e-03, 3.4054e-04, 1.8867e-03, 8.8446e-01],
       device='cuda:0')"
Personal,ফালতু উপস্হাপিকা। বেশি নেকামি করে। ,0,0,"tensor([9.9315e-01, 3.4735e-03, 6.0849e-04, 8.3617e-04, 1.9346e-03],
       device='cuda:0')"
Geopolitical,"সিটি কর্পোরেশনের মানুষরূপী এই কুকুরগyলো নিধন করা দরকার ছিল, কিন্তু তারা নিরীহ কুকুরগyলো নিধন করছে ",3,3,"tensor([1.6880e-03, 5.8026e-03, 1.0941e-03, 9.9066e-01, 7.5048e-04],
       device='cuda:0')"
Geopolitical,"যখন ছাত্রলীগ জানতে পারে রবীন্দ্রনাথ ঠাকুর নৌকাডুবি উপন্যাস লিখেছেন, তখন তারা রবীন্দ্রনাথের মায়রে চুঁদি ",3,1,"tensor([0.0195, 0.4850, 0.1199, 0.3707, 0.0050], device='cuda:0')"
Personal, একদিন হয়তো শুনবো বাংলাদেশে জন্মগ্রহণ করার জন্য খালেদা জিয়ার বিরুদ্ধে গ্রেফতারি পরোয়ানা জারি হয়েছে । ,0,0,"tensor([9.9483e-01, 1.9702e-03, 1.3958e-03, 7.1792e-04, 1.0893e-03],
       device='cuda:0')"
Geopolitical,"দাড়ি-টুপি দেখলে নির্যাতন, আওয়ামীলীগের হাতে পরে আজ এ কেমন দেশ? ",3,3,"tensor([9.2875e-04, 2.5706e-03, 1.4998e-03, 9.9464e-01, 3.6287e-04],
       device='cuda:0')"
Religious,রাহুল ভাই আপনি এই সব পাগলের সাথে কেন কথা বলেন। এরা নিজেরা ঠাকুর বানাই আবার তার সামনে মদ খেয়ে নাচা নাচি করে।,2,2,"tensor([1.0009e-03, 8.4945e-03, 9.8853e-01, 1.0020e-03, 9.7382e-04],
       device='cuda:0')"
Gender abusive,"সবকিছুই অভুক্ত গুদের সাইড এফেক্ট, কষে চোদার দরকার ",4,0,"tensor([9.9022e-01, 1.2810e-03, 1.3645e-04, 8.3152e-04, 7.5300e-03],
       device='cuda:0')"
Gender abusive,খানকি মাগী তোকে দেখলে ঘূনা করে ,4,4,"tensor([1.3164e-02, 1.3112e-03, 1.5711e-04, 4.5697e-04, 9.8491e-01],
       device='cuda:0')"
Geopolitical,ভারতের মন্ত্রী এখন আপনার চোখ অন্ধ।সবকিছুর সিমা আছে আল্লার বিচার আল্লা করবেন ।,3,3,"tensor([8.7036e-05, 8.2470e-04, 2.2279e-04, 9.9877e-01, 9.8268e-05],
       device='cuda:0')"
Geopolitical,বাংলা দেশ তো ভারতের কাছে বিক্রি করে দিতেছে তাই।,3,3,"tensor([1.9890e-04, 2.1324e-04, 4.3547e-04, 9.9878e-01, 3.7687e-04],
       device='cuda:0')"
Gender abusive,লুচ্চা দেখেছি তো এরকম লুচ্চা দেখিনি ,4,0,"tensor([9.9264e-01, 1.0833e-03, 1.9313e-04, 7.7994e-04, 5.3043e-03],
       device='cuda:0')"
Personal,শেখ হাসিনা নিজের ঘর ইহুদি রেখে অন্যের ঘরে ইহুদি খোঁজার চেষ্টা করছেন ,0,2,"tensor([0.0083, 0.0125, 0.7757, 0.2009, 0.0025], device='cuda:0')"
Personal,ঝিনাইদহে হচ্ছে কি? কোথায় আইনের শাসন? ,0,3,"tensor([2.9626e-04, 9.6277e-04, 3.2907e-04, 9.9834e-01, 6.9619e-05],
       device='cuda:0')"
Religious,কাঠমোল্লা জাকের নাইকের জুতার সমান মুল্য তোর নাই। ,2,0,"tensor([0.9797, 0.0119, 0.0014, 0.0057, 0.0014], device='cuda:0')"
Political,দুইদিনেই রাজাকার হয়ে গেলো???আমারে আমির বানাইলে ও দেখা যাবে এই জানোয়ারের বাচ্ছারা আমাকে রাজাকার বলবে।আসলে সাংবাদিক আর আওয়ামী লীগ হলো সেলিম ওসমানের ভাষায়।,1,1,"tensor([4.1405e-04, 9.9626e-01, 9.5656e-04, 2.0767e-03, 2.9108e-04],
       device='cuda:0')"
Geopolitical,"মগের মুল্লুক আর কাকে বলে? যে চোর ধরল, তাকেই চোর বলে ফাঁসি দিল ",3,0,"tensor([9.9657e-01, 1.3281e-03, 9.7102e-04, 8.8281e-04, 2.4910e-04],
       device='cuda:0')"
Religious,মালাউনদের স্বভাব এটা কার টাকা কোন দিকে খাবে এই কাজ তাদের আমাদের দেশের মালাউনদের ঘাড় ধাক্কা দিয়ে দেশ থেকে বের করে দেওয়া উচিত,2,2,"tensor([1.1003e-03, 2.1982e-04, 9.9765e-01, 8.4397e-04, 1.8854e-04],
       device='cuda:0')"
Personal,দুইটাই শয়তান ঔ কি দিলে এটাও সমস্যা না ,0,0,"tensor([9.9728e-01, 8.1241e-04, 2.8121e-04, 3.7186e-04, 1.2532e-03],
       device='cuda:0')"
Personal,"দিদি যে বৃক্ষ ছায়া দেয়, তার এক একটা পাতা আদরনীয় হয়ে থাকে দিদিকে খুব ভালো বেসেছিলাম, শালি গুয়া মেরে দিলো ",0,0,"tensor([0.8583, 0.0350, 0.0010, 0.0528, 0.0529], device='cuda:0')"
Personal,এই রকম বেগম থাকলে ধর্মপুত্র রা তো এই গুলা করবেই ,0,0,"tensor([0.5680, 0.0217, 0.4038, 0.0026, 0.0040], device='cuda:0')"
Geopolitical,ভারত আমাদের দেশটা ডংশ করে দিচ্ছে হাসিনা খমতার লোভে কিছু দেখে না ভারত আমাদের গার্মেন্টস শিলপ ডংশ করছে,3,3,"tensor([4.1175e-04, 2.2648e-04, 3.3331e-04, 9.9850e-01, 5.2477e-04],
       device='cuda:0')"
Geopolitical,আওয়ামীলীগ কী তার পরাজয়ের দলিলে স্বাক্ষর করে নিচ্ছে? এদের জন্য কোন ব্যবস্থা না নিয়ে বাংলার পর্দাশীলদের কেন হেনস্তা করা হচ্ছে,3,3,"tensor([1.5560e-02, 4.8887e-02, 1.3152e-02, 9.2184e-01, 5.6079e-04],
       device='cuda:0')"
Personal,একসাথে তিনটা বাচ্চা জন্মদেয়ার পরও মেয়েরা হাসিখুশি আর বিচিতে হাল্কা টোকা খাওয়ার পর ছেলেদের বেহাল অবস্থা ,0,0,"tensor([9.9721e-01, 2.8343e-04, 3.3985e-04, 5.3857e-04, 1.6272e-03],
       device='cuda:0')"
Religious,নাস্তিকদের যতই বুঝাবেন তারা তো আল্লাহকেই বিশ্বাস করে না।,2,2,"tensor([5.5137e-04, 7.2076e-04, 9.9807e-01, 3.8453e-04, 2.7294e-04],
       device='cuda:0')"
Political,সব দলের নিকট গ্রহনযোগ্য আশা করা অবাস্তব।মুক্তিযোদ্ধা আর রাজাকার দর্শন কখনোই এক হতে পারেনা। বর্তমান কমিশন গঠনের আগে মহামান্য রাষ্ট্রপতি সব দলের সাথে আলোচনা করা হয়েছিল এর ফল কি হয়েছে আমরা জানি। কাজেই সর্বদলের গ্রহনযোগ্য এমন মুখরোচক কথা বলা সহজ কিন্তু বাস্তবতা ভিন্ন।,1,1,"tensor([4.3652e-04, 9.9503e-01, 2.8782e-04, 3.8150e-03, 4.3545e-04],
       device='cuda:0')"
